DATE,ADMIN1,ADMIN2,MARKET,LATITUDE,LONGITUDE,COMMODITY,PRICETYPE,PRICE
1/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Retail,44.34
1/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Wholesale,37.42
1/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Retail,40.04
1/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Wholesale,32.93
1/15/2019,Region I,Pangasinan,Lingayen,16.02,120.23,"Rice (regular, milled)",Retail,39.32
1/15/2019,Region I,Pangasinan,Lingayen,16.02,120.23,"Rice (regular, milled)",Wholesale,34
1/15/2019,Region II,Cagayan,Tuguegarao City,17.61,121.73,"Rice (regular, milled)",Retail,36.6
1/15/2019,Region II,Cagayan,Tuguegarao City,17.61,121.73,"Rice (regular, milled)",Wholesale,34.85
1/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Retail,45.09
1/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,41.64
1/15/2019,Region IV-A,Rizal,Santa Cruz,14.61,121.17,"Rice (regular, milled)",Retail,38.27
1/15/2019,Region IV-A,Rizal,Santa Cruz,14.61,121.17,"Rice (regular, milled)",Wholesale,34.6
1/15/2019,Region IV-B,Palawan,Puerto Princesa,9.74,118.74,"Rice (regular, milled)",Retail,40.24
1/15/2019,Region IV-B,Palawan,Puerto Princesa,9.74,118.74,"Rice (regular, milled)",Wholesale,31.44
1/15/2019,Region IX,Zamboanga del Sur,Zamboanga City,6.91,122.07,"Rice (regular, milled)",Retail,42.63
1/15/2019,Region V,Albay,Legazpi City,13.14,123.73,"Rice (regular, milled)",Retail,38.49
1/15/2019,Region V,Albay,Legazpi City,13.14,123.73,"Rice (regular, milled)",Wholesale,34.18
1/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Wholesale,37.69
1/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Retail,44.35
1/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Wholesale,30.69
1/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Retail,47.78
1/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Wholesale,44.33
1/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Retail,43.98
1/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Wholesale,33.6
1/15/2019,Region VIII,Southern Leyte,Catarman,10.14,125,"Rice (regular, milled)",Retail,37.45
1/15/2019,Region VIII,Southern Leyte,Catarman,10.14,125,"Rice (regular, milled)",Wholesale,32.83
1/15/2019,Region X,Lanao del Norte,Tubod,8.22,124.25,"Rice (regular, milled)",Retail,39.98
1/15/2019,Region X,Lanao del Norte,Tubod,8.22,124.25,"Rice (regular, milled)",Wholesale,37.44
1/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Retail,46
1/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Wholesale,42.46
1/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Retail,38.57
1/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,37.18
1/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Retail,41.98
1/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Wholesale,36.85
1/15/2019,Region XIII,Surigao del Sur,Tandag,9.08,126.2,"Rice (regular, milled)",Retail,38.4
2/15/2019,Autonomous region in Muslim Mindanao,Maguindanao,Shariff Aguak,6.86,124.44,"Rice (regular, milled)",Retail,40.6
2/15/2019,Cordillera Administrative region,Benguet,La Trinidad,16.45,120.59,"Rice (regular, milled)",Retail,38.85
2/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Retail,44.22
2/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Wholesale,38.6
2/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Retail,39.75
2/15/2019,Region I,Pangasinan,Lingayen,16.02,120.23,"Rice (regular, milled)",Retail,38.33
2/15/2019,Region I,Pangasinan,Lingayen,16.02,120.23,"Rice (regular, milled)",Wholesale,34.52
2/15/2019,Region II,Cagayan,Tuguegarao City,17.61,121.73,"Rice (regular, milled)",Retail,35.4
2/15/2019,Region II,Cagayan,Tuguegarao City,17.61,121.73,"Rice (regular, milled)",Wholesale,35.55
2/15/2019,Region IV-A,Rizal,Santa Cruz,14.61,121.17,"Rice (regular, milled)",Retail,38.42
2/15/2019,Region IV-A,Rizal,Santa Cruz,14.61,121.17,"Rice (regular, milled)",Wholesale,34.9
2/15/2019,Region IV-B,Palawan,Puerto Princesa,9.74,118.74,"Rice (regular, milled)",Retail,39.14
2/15/2019,Region IV-B,Palawan,Puerto Princesa,9.74,118.74,"Rice (regular, milled)",Wholesale,31.4
2/15/2019,Region IX,Zamboanga del Sur,Zamboanga City,6.91,122.07,"Rice (regular, milled)",Retail,42.07
2/15/2019,Region V,Albay,Legazpi City,13.14,123.73,"Rice (regular, milled)",Retail,38.53
2/15/2019,Region V,Albay,Legazpi City,13.14,123.73,"Rice (regular, milled)",Wholesale,34.53
2/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Retail,50.17
2/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Retail,44.67
2/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Wholesale,31.52
2/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Retail,47.47
2/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Retail,43.15
2/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Wholesale,33.65
2/15/2019,Region VIII,Southern Leyte,Catarman,10.14,125,"Rice (regular, milled)",Retail,37.57
2/15/2019,Region VIII,Southern Leyte,Catarman,10.14,125,"Rice (regular, milled)",Wholesale,32.82
2/15/2019,Region X,Lanao del Norte,Tubod,8.22,124.25,"Rice (regular, milled)",Retail,40
2/15/2019,Region X,Lanao del Norte,Tubod,8.22,124.25,"Rice (regular, milled)",Wholesale,36.97
2/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Wholesale,42.07
2/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,38.09
2/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Retail,41.9
2/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (regular, milled)",Retail,39.42
2/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (regular, milled)",Wholesale,35.18
2/15/2019,Region XIII,Surigao del Sur,Tandag,9.08,126.2,"Rice (regular, milled)",Retail,38.4
2/15/2019,Region XIII,Surigao del Sur,Tandag,9.08,126.2,"Rice (regular, milled)",Wholesale,32
3/15/2019,Cordillera Administrative region,Benguet,La Trinidad,16.45,120.59,"Rice (regular, milled)",Retail,38.72
3/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Retail,43.87
